date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:02:59%20GMT	http://nonfungiblecrib.my.canva.site/images/725b756a69a7d4c235070e51acd85560.png	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/images/725b756a69a7d4c235070e51acd85560.png	(from https://nonfungiblecrib.my.canva.site/)
00:02:59	3106/3106	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Nov%202024%2022:56:04%20GMT	https://nonfungiblecrib.my.canva.site/images/725b756a69a7d4c235070e51acd85560.png	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/images/725b756a69a7d4c235070e51acd85560.png	(from https://nonfungiblecrib.my.canva.site/)
00:02:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:00%20GMT	http://nonfungiblecrib.my.canva.site/media/72b99e4883e0ca9ffeabfc4f8b0088f0.svg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/72b99e4883e0ca9ffeabfc4f8b0088f0.svg	(from https://nonfungiblecrib.my.canva.site/)
00:02:59	9326/9326	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2022%20Nov%202024%2022:28:05%20GMT	https://nonfungiblecrib.my.canva.site/media/72b99e4883e0ca9ffeabfc4f8b0088f0.svg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/72b99e4883e0ca9ffeabfc4f8b0088f0.svg	(from https://nonfungiblecrib.my.canva.site/)
00:02:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:00%20GMT	http://nonfungiblecrib.my.canva.site/media/8f01158f89d431287837376c4075d1ae.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/8f01158f89d431287837376c4075d1ae.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:00	27072/27072	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Nov%202024%2022:27:13%20GMT	https://nonfungiblecrib.my.canva.site/media/8f01158f89d431287837376c4075d1ae.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/8f01158f89d431287837376c4075d1ae.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:01%20GMT	http://nonfungiblecrib.my.canva.site/media/9962989fc5dd6ff6bfcfb90eacd3265b.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/9962989fc5dd6ff6bfcfb90eacd3265b.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:00	50609/50609	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Nov%202024%2022:27:13%20GMT	https://nonfungiblecrib.my.canva.site/media/9962989fc5dd6ff6bfcfb90eacd3265b.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/9962989fc5dd6ff6bfcfb90eacd3265b.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:01%20GMT	http://nonfungiblecrib.my.canva.site/media/ccbfc49e76ec13d5081482dbedfd88c2.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/ccbfc49e76ec13d5081482dbedfd88c2.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:02	29880/29880	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Nov%202024%2022:28:06%20GMT	https://nonfungiblecrib.my.canva.site/media/ccbfc49e76ec13d5081482dbedfd88c2.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/ccbfc49e76ec13d5081482dbedfd88c2.jpg	(from https://nonfungiblecrib.my.canva.site/)
